股票代码,股票简称,最新价,chg_pct,分时买二量[20260417 09:15],{(}分时买二量[20260417 09:15]{*}100.0{)},自由流通股[20260417],yedan_pct,分时买一量[20260430 09:25],{(}分时买一量[20260430 09:25]{*}100.0{)},自由流通股[20260430],open_seal_pct,分时涨跌幅:前复权[20260430 09:25],涨停次数[20260428-20260430],涨停次数排名[20260428-20260430],区间成交额[20260428-20260430],区间振幅[20260428-20260430],分时买三量[20260417 09:15],分时买四量[20260417 09:15],分时买五量[20260417 09:15],分时成交量[20260430 09:25],分时成交额[20260430 09:25],分时换手率[20260430 09:25],分时收盘价:不复权[20260430 09:25],分时买三量[20260430 09:25],分时买四量[20260430 09:25],分时买五量[20260430 09:25],market_code,code,date
605289.SH,罗曼股份,150.05,-2.2602918186555487,2900.0,290000,54404000,0.005330490405117271,200.0,20000.0,54404000,0.00036762002793912213,0.0,1,38/248,3851209398.0,11.033804202684651,0.0,0.0,0.0,79700,12235544.0,0.07356640129225799,153.52,200.0,4500.0,9500.0,17,605289,20260417
000039.SZ,中集集团,12.39,-0.3218020917135893,4100.0,410000,2026388546,0.00020233039749919707,500.0,50000.0,2026388546,2.4674438719414277e-05,0.7240547063555924,1,38/248,2401000786.0,14.068100358422942,0.0,0.0,0.0,636000,7962720.0,0.0276352666448948,12.52,5300.0,1000.0,55700.0,33,000039,20260417
000692.SZ,惠天热电,5.0,0.8064516129032265,13800.0,1380000,373036368,0.0036993712098333533,2400.0,240000.0,373036368,0.0006433689060579745,4.0322580645161255,1,38/248,508772494.29999995,18.243243243243253,0.0,0.0,0.0,2578700,13306092.0,0.4839602870224759,5.16,300.0,200.0,10000.0,33,000692,20260417
000818.SZ,航锦科技,15.32,-0.6485084306095956,20100.0,2010000,479879239,0.004188553779047733,75543.0,7554300.0,479879239,0.01574208547913447,3.761348897535677,1,38/248,2705812127.0,18.31085876508162,0.0,0.0,0.0,2656357,42501712.0,0.403571989577653,16.0,2700.0,7700.0,3600.0,33,000818,20260417
000820.SZ,*ST节能,3.75,-3.1007751937984525,100.0,10000,296966877,3.367378914787187e-05,2620644.0,262064400.0,296966877,0.8824701348763553,4.909560723514206,1,38/248,191180348.7,11.51685393258426,0.0,0.0,0.0,860156,3492233.4,0.28964711778276875,4.06,114100.0,4400.0,10000.0,33,000820,20260417
000973.SZ,佛塑科技,20.99,-1.4091122592766592,500.0,50000,708662659,7.055543193224747e-05,3500.0,350000.0,708662659,0.0004938880235257323,3.804603100046977,1,38/248,5746980050.0,20.03042596348884,0.0,0.0,0.0,1834700,40546870.0,0.18964813485948642,22.1,200.0,400.0,3900.0,33,000973,20260417
002174.SZ,游族网络,10.24,0.5893909626719106,1600.0,160000,798311452,0.00020042302988282823,9500.0,950000.0,798311452,0.0011900117399292927,-0.09823182711198308,1,38/248,1160689331.0,12.205567451820116,0.0,0.0,0.0,1720200,17494434.0,0.17566342777767274,10.17,700.0,16400.0,1200.0,33,002174,20260417
002199.SZ,*ST东晶,10.56,3.225806451612904,24300.0,2430000,152245658,0.015961046324224234,60300.0,6030000.0,152245658,0.03960704087863051,2.639296187683282,1,38/248,265836320.10000002,11.220472440944887,0.0,0.0,0.0,238500,2504250.0,0.10327711358853878,10.5,200.0,1000.0,73800.0,33,002199,20260417
002354.SZ,天娱数科,6.2,4.201680672268908,3400.0,340000,1625693779,0.0002091414781750235,11600.0,1160000.0,1625693779,0.0007135415137736096,3.529411764705892,1,38/248,1983005547.0,18.78354203935599,0.0,0.0,0.0,7912500,48741000.0,0.486715278252904,6.16,6800.0,13800.0,13700.0,33,002354,20260417
002497.SZ,雅化集团,30.67,1.2879788639365937,10200.0,1020000,987271505,0.0010331504503414185,6800.0,680000.0,988307780,0.0006880447708303986,0.26420079260236484,1,38/248,6833283820.0,13.841905419399383,0.0,0.0,0.0,640100,19433436.0,0.060410294622026135,30.36,600.0,8300.0,80000.0,33,002497,20260417
002520.SZ,日发精机,5.93,3.130434782608691,64600.0,6460000,539025573,0.011984589087390108,200.0,20000.0,539025573,3.710399098263191e-05,3.4782608695652195,1,38/248,762399824.6,14.471243042671619,0.0,0.0,0.0,2127100,12656245.0,0.29648465279483216,5.95,20200.0,3500.0,20500.0,33,002520,20260417
002522.SZ,浙江众成,6.35,-1.397515527950322,133000.0,13300000,678575032,0.019599895918363232,3800.0,380000.0,678575032,0.0005599970262389495,0.46583850931676274,1,38/248,1064476773.0,11.12929623567921,0.0,0.0,0.0,1359700,8797259.0,0.15023979379352395,6.47,137700.0,1600.0,3500.0,33,002522,20260417
002548.SZ,金新农,5.39,6.102362204724401,5100.0,510000,553771985,0.0009209566641403863,11400.0,1140000.0,553771985,0.002058609013960863,0.3937007874015741,1,38/248,781570954.0,18.750000000000007,0.0,0.0,0.0,1278500,6520350.0,0.15892421455749983,5.1,3000.0,3600.0,8900.0,33,002548,20260417
002568.SZ,百润股份,19.06,4.381161007667016,200.0,20000,497834325,4.017400768820029e-05,600.0,60000.0,497834325,0.00012052202306460086,3.9978094194961455,1,38/248,1140984521.1,17.237308146399062,0.0,0.0,0.0,908000,17242920.0,0.11899124968883887,18.99,100.0,600.0,2200.0,33,002568,20260417
002627.SZ,三峡旅游,7.49,-0.9259259259259179,2000.0,200000,477435181,0.00041890503247183204,66200.0,6620000.0,477435800,0.013865738597733978,0.1322751322751392,1,38/248,819872759.0,13.911845730027544,0.0,0.0,0.0,402200,3044654.0,0.05608851936424893,7.57,300.0,1400.0,8400.0,33,002627,20260417
