股票代码,股票简称,最新价,最新涨跌幅,p_925,p_open,p_close,chg_pct,涨跌幅:前复权排名[20260410],p_high,p_low,p_high,p_low,分时开盘价:不复权[20260430 09:25],分时最高价:不复权[20260430 09:25],分时最低价:不复权[20260430 09:25],分时振幅[20260430 09:25],开盘价:前复权[20260410],最高价:前复权[20260410],最低价:前复权[20260410],收盘价:前复权[20260410],振幅[20260410],成交量[20260410],market_code,code,date
300905.SZ,宝丽迪,68.12,0.029368575624097257,68.78,68.78,34.88,9.41028858,87/5521,69.78,64.31,35.5,32.71,68.78,68.78,68.78,0,32.81,35.5,32.71,34.88,8.751568,9614335,33,300905,20260410
301372.SZ,科净源,36.4,3.8220193953222936,34.43,34.43,30.94,9.40594059,88/5521,37.1,34.12,31.99,28.3,34.43,34.43,34.43,0,28.49,31.99,28.3,30.94,13.04809,5348175,33,301372,20260410
301310.SZ,鑫宏业,66.65,8.550488599348546,60.29,60.29,47.4,9.26694329,89/5521,67.3,60.29,47.49,43.12,60.29,60.29,60.29,0,43.38,47.49,43.12,47.4,10.073766,6555726,33,301310,20260410
301391.SZ,卡莱特,83.24,3.4037267080745277,81.43,81.43,77.0,9.21985816,90/5521,85.45,80.5,77.95,70.99,81.43,81.43,81.43,0,71,77.95,70.99,77.0,9.87234,3403654,33,301391,20260410
300881.SZ,盛德鑫泰,50.0,2.2494887525562404,48.71,48.71,47.78,9.18647166,91/5521,50.8,48.71,49.9,43.76,48.71,48.71,48.71,0,43.76,49.9,43.76,47.78,14.031078,5819155,33,300881,20260410
603538.SH,美诺华,62.46,-4.349157733537514,62.99,62.99,49.59,8.98901099,92/5521,63.45,59.14,50.05,44.51,62.99,62.99,62.99,0,47.46,50.05,44.51,49.59,12.175824,9.0506148E7,17,603538,20260410
688175.SH,高凌信息,36.67,3.0924936744447606,35.74,35.74,35.78,8.8530575,93/5521,36.8,35.63,36.05,32.65,35.74,35.74,35.74,0,32.89,36.05,32.65,35.78,10.343778,5300854,17,688175,20260410
688279.SH,峰岹科技,197.45,0.74493596612071,194.3,194.3,170.48,8.83554648,94/5521,200.44,193.4,175.5,158,194.3,194.3,194.3,0,158.85,175.5,158,170.48,11.172114,2539332,17,688279,20260410
002384.SZ,东山精密,186.73,1.3459972862957883,189.78,189.78,143.55,8.83244882,95/5521,191.95,181.83,145.09,132.27,189.78,189.78,189.78,0,132.3,145.09,132.27,143.55,9.719484,1.44944466E8,33,002384,20260410
300145.SZ,南方泵业,4.84,-1.825557809330626,4.9,4.9,4.93,8.83002208,96/5521,4.93,4.78,5.28,4.53,4.9,4.9,4.9,0,4.55,5.28,4.53,4.93,16.556291,2.36260825E8,33,300145,20260410
688625.SH,呈和科技,73.0,1.108033240997226,71.39,71.39,64.4,8.78378378,97/5521,76.66,71.01,65.48,59.21,71.39,71.39,71.39,0,60,65.48,59.21,64.4,10.591216,6274085,17,688625,20260410
603800.SH,洪田股份,51.92,6.480721903199351,47.0,47,43.61,8.69890329,98/5521,52.04,46.99,44.13,40.01,47.0,47.0,47.0,0,40.01,44.13,40.01,43.61,10.269192,1.215495E7,17,603800,20260410
003019.SZ,宸展光电,35.18,-0.789622109419067,35.29,35.29,34.77,8.65625,99/5521,35.69,34.75,34.95,32.11,35.29,35.29,35.29,0,32.11,34.95,32.11,34.77,8.875,2.2092014E7,33,003019,20260410
300853.SZ,申昊科技,29.88,-2.4167210973220183,30.92,30.92,20.31,8.60962567,100/5521,31.33,29.8,20.46,18.7,30.92,30.92,30.92,0,18.7,20.46,18.7,20.31,9.411764,5697080,33,300853,20260410
