股票代码,股票简称,最新价,最新涨跌幅,竞价涨幅[20260414],分时开盘价:不复权[20260414 09:25],p_925,chg_pct,分时涨跌幅:前复权排名[20260414 09:25],分时最高价:不复权[20260414 09:25],分时最低价:不复权[20260414 09:25],分时振幅[20260414 09:25],竞价匹配价[20260414],竞价异动类型[20260414],竞价异动说明[20260414],集合竞价评级[20260414],竞价量[20260414],竞价金额[20260414],竞价未匹配量[20260414],竞价未匹配金额[20260414],分时成交量[20260414 09:25],分时成交额[20260414 09:25],分时换手率[20260414 09:25],market_code,code,date
920496.BJ,许昌智能,8.65,-3.4598214285714337,0.999,9.1,9.1,0.9988901220865598,1354/5521,9.1,9.1,0,9.1,,,,4800,43680.0,8526,77586.6,4800,43680.0,0.003310380625357383,151,920496,20260414
300614.SZ,百川畅银,13.84,1.1695906432748548,0.999,13.15,13.15,0.9984639016897168,1355/5521,13.15,13.15,0,13.15,,,,21800,286670.0,-200,-2630.0,21800,286670.0,0.01358757650234078,33,300614,20260414
600756.SH,浪潮软件,16.51,1.6000000000000096,0.998,17.2,17.2,0.9982384028185409,1356/5521,17.2,17.2,0,17.2,,,,54000,928800.0,7300,125560.0,54000,928800.0,0.016661588327678632,17,600756,20260414
920363.BJ,莱赛激光,16.39,-0.9068923821039818,0.997,16.21,16.21,0.9968847352024968,1357/5521,16.21,16.21,0,16.21,,,,1200,19452.0,-1901,-30815.21,1200,19452.0,0.0023488160107826314,151,920363,20260414
301262.SZ,海看股份,23.67,-0.8793969849246118,0.997,23.31,23.31,0.9965337954939368,1358/5521,23.31,23.31,0,23.31,,,,33000,769230.0,-200,-4662.0,33000,769230.0,0.027032475144540186,33,301262,20260414
603703.SH,盛洋科技,13.68,1.7100371747211929,0.996,13.18,13.18,0.9961685823754785,1359/5521,13.18,13.18,0,13.18,,,,12400,163432.0,0,0.0,12400,163432.0,0.002988080546699217,17,603703,20260414
600643.SH,爱建集团,4.82,0.4166666666666763,0.996,5.07,5.07,0.9960159362550014,1360/5521,5.07,5.07,0,5.07,,,,270700,1372449.0,-118600,-601302.0,270700,1372449.0,0.017021392015148427,17,600643,20260414
300474.SZ,景嘉微,65.98,6.902138690861966,0.996,60.84,60.84,0.9960159362549792,1361/5521,60.84,60.84,0,60.84,,,,25800,1569672.0,-1200,-73008.0,25800,1569672.0,0.006347267351580113,33,300474,20260414
920274.BJ,宏裕包材,21.83,-2.01974865350091,0.996,21.3,21.3,0.9957325746799528,1362/5521,21.3,21.3,0,21.3,,,,3119,66434.7,-2749,-58553.7,3119,66435.0,0.0038348360341406884,151,920274,20260414
000812.SZ,陕西金叶,4.1,0.24449877750610727,0.995,4.06,4.06,0.995024875621886,1363/5521,4.06,4.06,0,4.06,,,,154100,625646.0,-12200,-49532.0,154100,625646.0,0.020391973239241672,33,000812,20260414
300323.SZ,华灿光电,12.1,5.1259774109470015,0.995,10.15,10.15,0.995024875621886,1363/5521,10.15,10.15,0,10.15,,,,294600,2990190.0,-238100,-2416715.0,294600,2990190.0,0.024804368676758313,33,300323,20260414
300623.SZ,捷捷微电,28.95,1.436580238262089,0.995,28.42,28.42,0.995024875621886,1363/5521,28.42,28.42,0,28.42,,,,63300,1798986.0,13100,372302.0,63300,1798986.0,0.008248597250783715,33,300623,20260414
600835.SH,上海机电,24.15,1.3003355704697932,0.995,23.35,23.35,0.9948096885813218,1366/5521,23.35,23.35,0,23.35,,,,50700,1183845.0,-4100,-95735.0,50700,1183845.0,0.006286389297614409,17,600835,20260414
603188.SH,亚邦股份,5.32,6.400000000000006,0.994,5.08,5.08,0.994035785288272,1367/5521,5.08,5.08,0,5.08,,,,46100,234188.0,-4800,-24384.0,46100,234188.0,0.00808530789062911,17,603188,20260414
301197.SZ,工大科雅,30.35,0.29742233972240534,0.994,25.41,25.41,0.9936406995230573,1368/5521,25.41,25.41,0,25.41,竞价抢筹,单笔放量10%以上抢筹,看多,68900,1750749.0,-2200,-55902.0,68900,1750749.0,0.06335675878224448,33,301197,20260414
300076.SZ,GQY视讯,,,0.993,6.1,6.1,0.9933774834437026,1369/5521,6.1,6.1,0,6.1,,,,38300,233630.0,-14200,-86620.0,38300,233630.0,0.009033018867924528,33,300076,20260414
002523.SZ,天桥起重,3.88,1.0416666666666676,0.993,4.07,4.07,0.992555831265518,1370/5521,4.07,4.07,0,4.07,,,,162000,659340.0,-200,-814.0,162000,659340.0,0.011476804913592542,33,002523,20260414
